"Quina visió integral del cos humà ha recuperat la neurociència moderna, superant el cerebrocentrisme?","La visió que tot el cos està interrelacionat, incloent l'activitat cardíaca, respiratòria i intestinal."
Quins són els tres eixos de l'organisme que ja identificava la medicina de Galè?,"Cervell, cor i abdomen."
"Segons Nazareth Castellanos, quina relació existeix entre la memòria i la respiració?",La respiració influeix directament en els processos de consolidació i recuperació de la memòria.
Quin paper juga la microbiota intestinal en el desenvolupament de les neurones?,La microbiota intervé en la producció i regulació dels factors de creixement neuronal.
Quins canvis produeix la meditació en la morfologia de l'escorça frontal?,La pràctica de la meditació pot augmentar el gruix i l'activitat d'aquesta àrea cerebral.
Quin tipus d'ones cerebrals apareixen amb més freqüència durant els estats de meditació?,Ones $\alpha$.
"Completa la cèlebre frase de Santiago Ramón y Cajal: «Tot home pot ser _____ del seu propi cervell, si s'ho proposa».",escultor
Què és la plasticitat neuronal?,"La capacitat del cervell per aprendre, adaptar-se i transformar la seva estructura segons l'experiència."
"Segons la biosofia de la respiració, com actua aquesta com a «pont»?","Estableix una connexió entre el món exterior i l'interior, i entre el que som i el que creiem ser."
Quin és l'efecte d'una respiració irregular sobre els sistemes de predicció cerebral?,"Genera alarma i estrès, dificultant les prediccions i atenuant capacitats cognitives i emocionals."
Com afecta la inhalació al diafragma segons la descripció biològica de la respiració?,La inhalació provoca que el diafragma baixi i exerceixi pressió sobre el pit i l'abdomen.
Quin efecte té l'exhalació sobre els mecanismes cerebrals de l'angoixa?,L'exhalació actua com una rendició que atenua els mecanismes de l'angoixa.
Què succeeix amb el diafragma durant el procés d'expiració?,El diafragma s'aboveda cap amunt.
"En l'experiment de les cartes d'Iowa, quina reacció física precedia la deducció racional de la pèrdua de diners?",El cos emetia senyals com contraccions musculars o pell de gallina abans que la ment ho comprengués.
Concepte: Marcador somàtic,Definició: Canvis corporals que reflecteixen un estat emocional o cognitiu abans que la persona en sigui conscient.
"Davant d'una incongruència entre el llenguatge verbal i la postura corporal, quina informació prioritza el cervell?",El cervell prioritza la informació que rep de la postura corporal.
Quina hipòtesi sobre la tristesa va plantejar William James respecte al cos?,"Que no plorem perquè estem tristos, sinó que estem tristos perquè el cos plora."
Com influeix una postura erguida en el record de paraules positives i negatives?,La postura erguida facilita el record d'un major nombre de paraules positives.
Quina àrea del cervell s'activa preferentment quan recordem paraules en una posició erguida?,L'hipocamp.
"Segons l'experiment de retroalimentació facial, què passa si subjectem un bolígraf horitzontalment amb la boca?",Simulem un somriure i tendim a interpretar la realitat de manera més positiva.
Quin efecte té el fet de fruncir el cella sobre l'amígdala cerebral?,L'amígdala s'activa i augmenta el nivell d'estrès del cervell.
Com varia el nivell de cortisol en sang segons si adoptem una postura de superioritat o de submissió?,"Les postures de superioritat poden augmentar el cortisol i la testosterona, mentre que les de submissió els baixen."
Quina és la funció principal del sistema glinfàtic durant el son?,Netejar el cervell de residus metabòlics o «basura neuronal».
Quina proteïna s'acumula formant plaques en el cervell de pacients amb Alzheimer?,La proteïna $\beta$-amiloide.
"Segons els estudis, quina és la millor postura per dormir per facilitar la neteja del sistema glinfàtic?",Dormir de costat.
Quin indicador físic ha estat identificat per la Universitat de Harvard com un gran predictor de l'Alzheimer?,La manera de caminar.
Quin impacte té l'exercici físic sobre la microbiota intestinal segons les línies de recerca de Castellanos?,L'exercici físic modula i millora la diversitat de la microbiota intestinal.
"Segons Nazareth Castellanos, el cervell és el suport de la _____.",ment
Com defineix Castellanos el concepte de «reconstruir» el cervell?,"Com un procés d'aprendre, créixer i transcendir el passat, no només recuperar el que hi havia abans."
Què és la biosofia segons el context de l'autora?,Una disciplina que uneix el coneixement biològic amb la reflexió filosòfica sobre la condició humana.
Quin efecte té la pràctica de la introspecció en la formació de creences?,Permet formar noves creences que substitueixen les prèvies mitjançant l'autoexploració conscient.
Com influeixen els ancestres en la nostra arquitectura neuronal segons *El puente donde habitan las mariposas*?,Deixen una petjada mitjançant factors genètics i patrons de relació heretats que construeixen el cervell.
Quin òrgan és considerat el «segon cervell» del cos degut a la seva influència en les emocions?,L'intestí (o sistema digestiu).
Quin és l'objectiu del servei «Cuida tu mente» esmentat en el material?,"Oferir avaluació psicològica, continguts personalitzats i seguiment amb un psicòleg via APP."
"En la respiració, què és l'apnea segons Nazareth Castellanos?",Una suspensió de la vida que tanca grans misteris i segueix a l'expiració.
Què simbolitza la metàfora del «torn de l'alfarer» aplicada al pensament?,"El pensament és el torn que gira, però la voluntat i la presència són les mans que modelen el fang."
Per què és rellevant la respiració conscient en el creixement personal?,Perquè permet habitar l'existència i sincronitzar la ment amb el cos.
Quin és l'impacte biològic del contacte amb els altres en el nostre cervell?,Les relacions personals construeixen i tallen la nostra arquitectura neuronal i personalitat.
"Segons l'autora, què significa «decidir volent»?",L'ús de la intenció conscient per cuidar-nos i trobar una millor versió de nosaltres mateixos.
Quin percentatge de les «carreteres» del cos van dels òrgans al cervell segons el podcast?,Totes les vies són de doble direcció: del cervell als òrgans i dels òrgans al cervell.
Quin efecte té la meditació sobre el ritme cardíac?,"Aconsegueix canvis en la variabilitat del ritme cardíac, afavorint la relaxació."
Com afecta el sistema endocrí l'adopció d'una postura de derrota?,Disminueix la producció de testosterona i pot alterar els nivells de cortisol.
Quin llibre de Nazareth Castellanos se centra en la neurociència de la meditació?,*El espejo del cerebro*.
Quin llibre de l'autora explora com l'organisme sencer esculpeix el cervell?,*Neurociencia del cuerpo*.
Quin conte infantil de l'autora explica el funcionament de la panxa com a segon cervell?,*Alicia y la barriga maravillosa*.
Quin personatge històric defensava que el cos i el cervell són un tot indissociable per expressar emocions?,William James.
"En l'estudi de memòria amb l'ordinador a terra, quina postura es recreava?",Una postura de derrota o hombros caiguts.
Per què el cervell «s'encull» durant el son segons l'article?,Per permetre el moviment de líquids que facilita la neteja del sistema glinfàtic.
Com es defineix la relació entre la ciència i l'humanisme en l'obra de Castellanos?,Com una unió necessària on la ciència permet filosofar i l'humanisme dóna sentit a la ciència.
Quina és la principal diferència entre el llenguatge verbal i el corporal segons el text?,"El cos manca d'intencionalitat i ironia, expressant el que la persona realment sent."
Quina part de la respiració s'associa amb un procés de resistència muscular?,La inhalació.
Què és la «basura neuronal» esmentada en relació a l'Alzheimer?,L'acumulació de proteïnes tòxiques que el sistema glinfàtic no ha pogut eliminar correctament.
Quin és el títol del llibre de Castellanos publicat el 2025?,*El puente donde habitan las mariposas*.
Quina professió original té Nazareth Castellanos abans de doctorar-se en medicina?,Física teòrica.
Quina universitat atorga la càtedra de Mindfulness a Nazareth Castellanos?,Universitat Complutense de Madrid.
Com influeix el fetus en el desenvolupament del cervell segons el dosier?,"Depèn de la genètica heretada, de l'estil de vida de la mare i de l'ambient que l'envolta."
Quin és el significat etimològic de «seminari» segons Steiner citat per l'autora?,"Ve de «llavor» (semilla), implicant que el mestre planta coneixement."
Què succeeix quan la respiració és regular respecte a l'activitat neuronal?,Alinea i sincronitza l'activitat de diverses àrees cerebrals.
"Quins òrgans, a part del cor i l'intestí, estudia la neurociència actual segons el podcast?","El fetge, els ronyons i l'úter."
"Segons l'estudi de Damásio, quantes cartes necessitava el cos per detectar el bloc perdedor?",10 cartes.
Quant de temps solia trigar la ment racional a deduir el bloc perdedor en l'experiment d'Iowa?,Unes 80 cartes.
Quin terme s'utilitza per descriure la respiració com a reguladora del ritme cardíac i cerebral?,Marcapassos de la salut.
"En l'experiment del bolígraf, quina posició simulava l'enfadament?",Subjectar el bolígraf amb els llavis apuntant cap a fora.
Què és la «rendició» respiratòria?,"L'exhalació, per la seva capacitat de relaxar el sistema nerviós."